key,date,value
2014-08-20,08:20:55,0.253449
2014-08-20,08:20:56,0.251097
2014-08-20,08:20:57,0.25037
2014-08-20,08:20:58,0.251097
2014-08-20,08:21:00,0.30699
2014-08-20,08:21:01,0.288376
2014-08-20,08:21:02,0.288376
2014-08-20,08:21:04,0.336443
2014-08-20,08:21:05,0.329852
2014-08-20,08:21:06,0.353513
2014-08-20,08:21:07,0.317559
2014-08-20,08:21:08,0.329133
2014-08-20,08:21:09,0.319887
2014-08-20,08:21:10,0.373041
2014-08-20,08:21:11,0.364703
2014-08-20,08:21:12,0.39332
2014-08-20,08:21:13,0.400385
2014-08-20,08:21:14,0.420749
2014-08-20,08:21:15,0.417133
2014-08-20,08:21:16,0.411504
2014-08-20,08:21:17,0.410341
2014-08-20,08:21:19,0.379375
2014-08-20,08:21:20,0.388332
2014-08-20,08:21:21,0.383238
2014-08-20,08:21:22,0.395756
2014-08-20,08:21:23,0.36238
2014-08-20,08:21:24,0.355215
2014-08-20,08:21:25,0.360255
2014-08-20,08:21:26,0.298336
2014-08-20,08:21:27,0.287993
2014-08-20,08:21:28,0.318425
2014-08-20,08:21:29,0.348164
2014-08-20,08:21:30,0.343686
2014-08-20,08:21:31,0.35369
2014-08-20,08:21:32,0.415855
2014-08-20,08:21:34,0.368901
2014-08-20,08:21:35,0.353666
2014-08-20,08:21:36,0.379185
2014-08-20,08:21:37,0.348806
2014-08-20,08:21:38,0.353113
2014-08-20,08:21:39,0.319403
2014-08-20,08:21:40,0.312371
2014-08-20,08:21:41,0.286329
2014-08-20,08:21:42,0.307054
2014-08-20,08:21:43,0.381872
2014-08-20,08:21:44,0.344144
2014-08-20,08:21:45,0.341791
2014-08-20,08:21:46,0.320281
2014-08-20,08:21:47,0.302212
2014-08-20,08:21:48,0.293614
2014-08-20,08:21:49,0.273012
2014-08-20,08:21:50,0.266812
2014-08-20,08:21:51,0.26073
2014-08-20,08:21:52,0.316688
2014-08-20,08:21:53,0.308584
2014-08-20,08:21:54,0.382834
2014-08-20,08:21:55,0.306484
2014-08-20,08:21:56,0.322492
2014-08-20,08:21:57,0.32315
2014-08-20,08:21:58,0.325036
2014-08-20,08:21:59,0.325036
2014-08-20,08:22:00,0.331851
2014-08-20,08:22:01,0.346115
2014-08-20,08:22:02,0.352218
2014-08-20,08:22:03,0.335616
2014-08-20,08:22:04,0.271217
2014-08-20,08:22:05,0.245954
2014-08-20,08:22:06,0.232185
2014-08-20,08:22:07,0.233412
2014-08-20,08:22:08,0.199238
2014-08-20,08:22:09,0.199672
2014-08-20,08:22:10,0.162631
2014-08-20,08:22:11,0.187935
2014-08-20,08:22:12,0.186636
2014-08-20,08:22:13,0.163099
2014-08-20,08:22:14,0.192814
2014-08-20,08:22:15,0.194129
2014-08-20,08:22:16,0.191409
2014-08-20,08:22:17,0.188191
2014-08-20,08:22:18,0.184082
2014-08-20,08:22:19,0.156023
2014-08-20,08:22:20,0.159337
2014-08-20,08:22:21,0.181068
2014-08-20,08:22:22,0.196129
2014-08-20,08:22:23,0.195771
2014-08-20,08:22:24,0.202362
2014-08-20,08:22:25,0.216843
2014-08-20,08:22:26,0.236795
2014-08-20,08:22:27,0.241502
2014-08-20,08:22:28,0.226939
2014-08-20,08:22:29,0.200893
2014-08-20,08:22:30,0.224323
2014-08-20,08:22:31,0.207516
2014-08-20,08:22:32,0.216407
2014-08-20,08:22:33,0.225087
2014-08-20,08:22:34,0.229508
2014-08-20,08:22:35,0.211525
2014-08-20,08:22:36,0.190009
2014-08-20,08:22:37,0.201333
2014-08-20,08:22:38,0.199228
2014-08-20,08:22:39,0.20877
2014-08-20,08:22:40,0.244259
2014-08-20,08:22:41,0.26749
2014-08-20,08:22:42,0.284652
2014-08-20,08:22:43,0.343983
2014-08-20,08:22:44,0.355164
2014-08-20,08:22:45,0.431768
2014-08-20,08:23:37,0.44557
2014-08-20,08:23:38,0.433054
2014-08-20,08:23:39,0.437238
2014-08-20,08:23:40,0.373252
2014-08-20,08:23:41,0.357139
2014-08-20,08:23:42,0.347244
2014-08-20,08:23:43,0.332405
2014-08-20,08:23:44,0.30285
2014-08-20,08:23:45,0.272566
2014-08-20,08:23:46,0.292586
2014-08-20,08:23:47,0.280813
2014-08-20,08:23:48,0.224345
2014-08-20,08:23:49,0.226061
2014-08-20,08:23:50,0.249489
2014-08-20,08:23:51,0.242643
2014-08-20,08:23:52,0.206945
2014-08-20,08:23:53,0.193304
2014-08-20,08:23:54,0.171503
2014-08-20,08:23:55,0.159851
2014-08-20,08:23:56,0.15251
2014-08-20,08:23:57,0.15262
2014-08-20,08:23:58,0.14541
2014-08-20,08:23:59,0.152092
2014-08-20,08:24:00,0.161156
2014-08-20,08:24:01,0.161965
2014-08-20,08:24:02,0.157688
2014-08-20,08:24:03,0.156681
2014-08-20,08:24:04,0.136599
2014-08-20,08:24:09,0.107711
2014-08-20,08:24:10,0.104344
2014-08-20,08:24:12,0.119831
2014-08-20,08:24:13,0.10448
2014-08-20,08:24:14,0.100491
2014-08-20,08:24:15,0.121798
2014-08-20,08:35:08,0.114163
2014-08-20,08:35:09,0.162356
2014-08-20,08:35:10,0.179422
2014-08-20,08:35:11,0.185961
2014-08-20,08:35:12,0.164848
2014-08-20,08:35:14,0.234885
2014-08-20,08:35:15,0.262202
2014-08-20,08:35:16,0.262674
2014-08-20,08:35:17,0.303802
2014-08-20,08:35:18,0.329772
2014-08-20,08:35:19,0.408083
2014-08-20,08:35:21,0.398723
2014-08-20,08:35:22,0.369909
2014-08-20,08:35:23,0.488126
2014-08-20,08:35:24,0.489589
2014-08-20,08:35:25,0.54157
2014-08-20,08:35:26,0.534959
2014-08-20,08:35:27,0.505624
2014-08-20,08:35:29,0.549612
2014-08-20,08:35:34,0.653276
2014-08-20,08:36:14,0.247215
2014-08-20,08:36:15,0.239927
2014-08-20,08:36:16,0.223254
2014-08-20,08:36:17,0.205517
2014-08-20,08:36:18,0.195764
2014-08-20,08:36:30,0.101245
2014-08-20,08:36:31,0.101363
2014-08-20,08:36:32,0.103809
2014-08-20,08:36:33,0.100928
2014-08-20,08:38:43,0.106556
2014-08-20,08:38:44,0.101746
2014-08-20,08:38:45,0.109732
2014-08-20,08:38:46,0.119831
2014-08-20,08:38:47,0.119601
2014-08-20,08:38:48,0.118325
2014-08-20,08:38:49,0.130268
2014-08-20,08:38:50,0.144521
2014-08-20,08:38:51,0.15502
2014-08-20,08:38:52,0.154314
2014-08-20,08:38:53,0.194084
2014-08-20,08:38:54,0.201498
2014-08-20,08:38:55,0.207631
2014-08-20,08:38:56,0.148705
2014-08-20,08:38:57,0.156784
2014-08-20,08:38:58,0.139942
2014-08-20,08:38:59,0.154532
2014-08-20,08:39:00,0.16393
2014-08-20,08:39:01,0.167054
2014-08-20,08:39:02,0.177214
2014-08-20,08:39:03,0.180726
2014-08-20,08:39:04,0.190159
2014-08-20,08:39:05,0.219555
2014-08-20,08:39:06,0.184213
2014-08-20,08:39:07,0.122242
2014-08-20,08:39:11,0.100836
2014-08-20,08:39:12,0.113644
2014-08-20,08:39:13,0.10994
2014-08-20,08:55:09,0.113186
2014-08-20,08:55:10,0.113365
2014-08-20,08:55:12,0.170139
2014-08-20,08:55:13,0.151301
2014-08-20,08:55:14,0.164327
2014-08-20,08:55:15,0.160852
2014-08-20,08:55:16,0.163718
