key,date,value
2014-08-04,11:26:42,0.160661
2014-08-04,11:26:43,0.196928
2014-08-04,11:26:44,0.18546
2014-08-04,11:26:45,0.108668
2014-08-04,11:26:46,0.100715
2014-08-04,11:26:47,0.103153
2014-08-04,11:26:48,0.107347
2014-08-04,11:26:49,0.108937
2014-08-04,11:26:50,0.109999
2014-08-04,11:26:51,0.157474
2014-08-04,11:26:52,0.15757
2014-08-04,11:26:53,0.168547
2014-08-04,11:26:54,0.169608
2014-08-04,11:26:55,0.102902
2014-08-04,11:26:56,0.101663
2014-08-04,11:26:57,0.140816
2014-08-04,11:26:58,0.101902
2014-08-04,11:26:59,0.13228
2014-08-04,11:27:00,0.162813
2014-08-04,11:27:01,0.13343
2014-08-04,11:27:02,0.209972
2014-08-04,11:27:03,0.287857
2014-08-04,11:27:04,0.295952
2014-08-04,11:27:05,0.278398
2014-08-04,11:27:06,0.294721
2014-08-04,11:27:07,0.29242
2014-08-04,11:27:08,0.300477
2014-08-04,11:27:09,0.331652
2014-08-04,11:27:10,0.325888
2014-08-04,11:27:11,0.340956
2014-08-18,11:26:42,0.257045
2014-08-18,11:26:43,0.234308
2014-08-18,11:26:44,0.324706
2014-08-18,11:26:45,0.291866
2014-08-18,11:26:46,0.251618
2014-08-18,11:26:47,0.254941
2014-08-18,11:26:48,0.25817
2014-08-18,11:26:49,0.261309
2014-08-18,11:26:50,0.258926
2014-08-18,11:26:51,0.257284
2014-08-18,11:26:52,0.261624
2014-08-18,11:26:53,0.266515
2014-08-18,11:26:54,0.287839
2014-08-18,11:26:55,0.271811
2014-08-18,11:26:56,0.260975
2014-08-18,11:26:57,0.243703
2014-08-18,11:26:58,0.245692
2014-08-18,11:26:59,0.235479
2014-08-18,11:27:00,0.229503
2014-08-18,11:27:01,0.231865
2014-08-18,11:27:02,0.243253
2014-08-18,11:27:03,0.244308
2014-08-18,11:27:04,0.242923
2014-08-18,11:27:05,0.265451
2014-08-18,11:27:06,0.240351
2014-08-18,11:27:07,0.247355
2014-08-18,11:27:08,0.267316
2014-08-18,11:27:09,0.275623
2014-08-18,11:27:10,0.293066
2014-08-18,11:27:11,0.337165
2014-08-19,11:26:42,0.678651
2014-08-19,11:26:43,0.419839
2014-08-19,11:26:44,0.434519
2014-08-19,11:26:45,0.435631
2014-08-19,11:26:46,0.403855
2014-08-19,11:26:47,0.430855
2014-08-19,11:26:48,0.435291
2014-08-19,11:26:49,0.418131
2014-08-19,11:26:50,0.400081
2014-08-19,11:26:51,0.419614
2014-08-19,11:26:52,0.44057
2014-08-19,11:26:53,0.433607
2014-08-19,11:26:54,0.444757
2014-08-19,11:26:55,0.464092
2014-08-19,11:26:56,0.46788
2014-08-19,11:26:57,0.5
2014-08-19,11:26:58,0.52382
2014-08-19,11:26:59,0.537488
2014-08-19,11:27:00,0.518712
2014-08-19,11:27:01,0.535041
2014-08-19,11:27:02,0.550334
2014-08-19,11:27:03,0.552533
2014-08-19,11:27:04,0.57641
2014-08-19,11:27:05,0.572477
2014-08-19,11:27:06,0.567558
2014-08-19,11:27:07,0.605706
2014-08-19,11:27:08,0.641642
2014-08-19,11:27:09,0.705064
2014-08-19,11:27:10,0.740316
2014-08-19,11:27:11,0.727913
2014-08-20,11:26:42,0.158629
2014-08-20,11:26:43,0.139782
2014-08-20,11:26:44,0.12018
2014-08-20,11:26:45,0.120771
2014-08-20,11:26:46,0.101917
2014-08-20,11:26:47,0.109197
2014-08-20,11:26:48,0.104632
2014-08-20,11:26:49,0.105079
2014-08-20,11:26:50,0.100467
2014-08-20,11:26:51,0.106796
2014-08-20,11:26:52,0.106698
2014-08-20,11:26:53,0.101634
2014-08-20,11:26:54,0.103968
2014-08-20,11:26:55,0.125328
2014-08-20,11:26:56,0.122314
2014-08-20,11:26:57,0.140408
2014-08-20,11:26:58,0.116087
2014-08-20,11:26:59,0.125706
2014-08-20,11:27:00,0.126845
2014-08-20,11:27:01,0.127983
2014-08-20,11:27:02,0.11976
2014-08-20,11:27:03,0.10106
2014-08-20,11:27:04,0.110628
2014-08-20,11:27:05,0.121373
2014-08-20,11:27:06,0.115462
2014-08-20,11:27:07,0.118265
2014-08-20,11:27:08,0.147475
2014-08-20,11:27:09,0.129565
2014-08-20,11:27:10,0.132617
2014-08-20,11:27:11,0.125253
